file,old_words,new_words,title
"amazon-scam-email-checker.html",165,738,"Amazon Scam Email Checker | Check Fake Amazon Messages"
"anaf-scam-checker.html",152,739,"ANAF Scam Checker | Verifică Mesaje ANAF False"
"apple-id-scam-checker.html",167,740,"Apple ID Scam Checker | Check Fake Apple Security Alerts"
"bank-scam-message-checker.html",169,745,"Bank Scam Message Checker | Check Fake Banking Alerts"
"business-email-scam-checker.html",167,739,"Business Email Scam Checker | Check Invoice and Payment Fraud"
"crypto-scam-checker.html",165,736,"Crypto Scam Checker | Check Suspicious Crypto Links"
"delivery-scam-checker.html",161,747,"Delivery Scam Checker | Check Fake Parcel Messages"
"dhl-scam-text-checker.html",88,750,"DHL Scam Text Checker | Check Fake Delivery SMS | ScamScouter"
"email-link-checker.html",165,737,"Email Link Checker | Check Suspicious Links in Emails"
"facebook-marketplace-scam-checker.html",170,740,"Facebook Marketplace Scam Checker | ScamScouter"
"fake-payment-scam-checker.html",167,736,"Fake Payment Scam Checker | Check Payment Confirmation Messages"
"fake-store-checker.html",163,734,"Fake Store Checker | Check Suspicious Online Shops"
"fake-website-checker.html",99,734,"Fake Website Checker | Detect Scam Websites | ScamScouter"
"fedex-scam-text-checker.html",167,749,"FedEx Scam Text Checker | Check Fake FedEx Messages"
"gmail-phishing-checker.html",163,736,"Gmail Phishing Checker | Check Suspicious Google Emails"
"instagram-scam-checker.html",166,732,"Instagram Scam Checker | Check Suspicious Instagram Messages"
"investment-scam-checker.html",162,736,"Investment Scam Checker | Check Suspicious Trading Offers"
"invoice-scam-checker.html",166,738,"Invoice Scam Checker | Check Fake Invoices and Payment Requests"
"is-this-link-safe.html",89,737,"Is This Link Safe? Check Suspicious URLs Instantly | ScamScouter"
"job-offer-scam-checker.html",167,736,"Job Offer Scam Checker | Check Fake Job Messages"
"loan-scam-checker.html",163,742,"Loan Scam Checker | Check Suspicious Loan Offers"
"microsoft-scam-email-checker.html",166,739,"Microsoft Scam Email Checker | Check Fake Microsoft Alerts"
"paypal-scam-email-checker.html",93,735,"PayPal Scam Email Checker | ScamScouter"
"phishing-email-checker.html",85,736,"Phishing Email Checker | Detect Scam Emails | ScamScouter"
"qr-code-scam-checker.html",159,744,"QR Code Scam Checker | Check Suspicious QR Links"
"recent-scams.html",45,730,"Recent Reported Scams | ScamScouter"
"romance-scam-checker.html",164,732,"Romance Scam Checker | Check Suspicious Relationship Messages"
"scam-facebook-marketplace.html",157,736,"Scam Facebook Marketplace | Verifică Mesaje de Cumpărător"
"scam-olx-romania.html",102,734,"Scam OLX România | ScamScouter"
"shopping-scam-checker.html",162,735,"Shopping Scam Checker | Check Online Deals and Stores"
"short-link-checker.html",157,735,"Short Link Checker | Check Bitly, TinyURL and Hidden Links"
"sms-fan-courier-fals.html",100,752,"SMS FAN Courier Fals | Verifică Mesaje Scam | ScamScouter"
"sms-scam-checker.html",165,736,"SMS Scam Checker | Check Suspicious Text Messages"
"social-media-scam-checker.html",168,735,"Social Media Scam Checker | Check Suspicious DMs and Links"
"tax-scam-checker.html",163,744,"Tax Scam Checker | Check Fake Tax and Refund Messages"
"teapa-banca.html",154,735,"Țeapă Bancă | Verifică Mesaje Bancare Suspecte"
"teapa-crypto.html",152,735,"Țeapă Crypto | Verifică Linkuri și Mesaje Suspecte"
"teapa-curier-fals.html",154,751,"Țeapă Curier Fals | Verifică Mesaje de Livrare Suspecte"
"teapa-investitii.html",153,735,"Țeapă Investiții | Verifică Oferte de Trading Suspecte"
"teapa-paypal.html",152,733,"Țeapă PayPal | Verifică Emailuri și Mesaje False"
"teapa-whatsapp.html",150,735,"Țeapă WhatsApp | Verifică Mesaje Suspecte"
"ups-scam-text-checker.html",166,750,"UPS Scam Text Checker | Check Fake UPS Delivery Messages"
"verifica-cod-qr-suspect.html",150,734,"Verifică Cod QR Suspect | ScamScouter"
"verifica-email-suspect.html",148,732,"Verifică Email Suspect | ScamScouter"
"verifica-link-bitly.html",152,731,"Verifică Link Bitly | Verifică fraudă și scam online"
"verifica-link-suspect.html",91,731,"Verifică Link Suspect Online | ScamScouter"
"verifica-magazin-online.html",151,727,"Verifică Magazin Online | ScamScouter"
"verifica-sms-suspect.html",156,729,"Verifică SMS Suspect | ScamScouter"
"website-trust-score-checker.html",160,735,"Website Trust Score Checker | Check Website Risk"
"whatsapp-scam-checker.html",166,741,"WhatsApp Scam Checker | Check Suspicious WhatsApp Messages"